Brand,Name,Ingredients,has_palm,palm_matches
TATA HARPER,Resurfacing Serum,"Hordeum Vulgare Leaf Juice*, Propanediol, Aqua/Water/Eau, Silybum Marianum Ethyl Ester, Galactoarabinan, Glycerin, Salix Alba (Willow) Bark Extract, Cetearyl Olivate, Simmondsia Chinensis (Jojoba) Seed Oil, Squalane, Sorbitan Olivate, Cupuacu Butter Glycerides, Isopropyl Shea Butterate, Lactobacillus Ferment, Leuconostoc Ferment Filtrate, Solanum Lycopersicum (Tomato) Fruit Extract, L (+) Lactic Acid, Vaccinium Myrtillus Fruit/Leaf Extract, Saccharum Officinarum (Sugar Cane) Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Acer Saccharum (Sugar Maple) Extract, Citric Acid, Terminalia Ferdinandiana Fruit Extract, Lithospermum Erythrorhizon Root Extract, Hippophae Rhamnoides (Sea Buckthorn) Oil*, Plukenetia Volubilis Seed Oil*, Saccharide Isomerate, Tasmannia Lanceolata Fruit/Leaf Extract, Arnica Montana (Arnica) Extract*, Borago Officinalis (Borage) Leaf Extract*, Calendula Officinalis (Calendula) Flower Extract*, Medicago Sativa (Alfalfa) Extract*, Spiraea Ulmaria (Meadowsweet) Extract*, Sambucus Nigra Fruit Extract, Olea Europaea (Olive) Oil*, Tocopherol, Caprylic/Capric Triglyceride, Cetyl Palmitate, Sorbitan Palmitate, Sclerotium Gum, Aroma**, Sodium Phytate, Sodium Citrate, Mica, Alcohol, CI 77891, CI 77491, Citral, Limonene, Linalool, Geraniol, Benzyl Benzoate.",True,['Cetyl Palmitate']
CAUDALIE,Resveratrol Lift Firming Serum,"Water, Glycerin*, Butylene Glycol, Glyceryl Stearate Citrate*, Hexyldecanol*, Hexyldecyl Laurate*, Squalane*, Tocopheryl Acetate*, Polyglyceryl-3 Stearate*, Palmitoyl Grapevine Shoot Extract*, Hydrogenated Lecithin*, Polyacrylate Crosspolymer-6, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Caprylyl Glycol, Ethylhexylglycerin, Sodium Dehydroacetate, Parfum (Fragrance), Sorbitan Laurate*, Hydrolyzed Hyaluronic Acid , Hyaluronic Acid, Hydroxyethylcellulose*, Acetyl Dipeptide-1 Cetyl Ester, Sodium Phytate*, Tocopherol*, Linalool, Limonene, Coumarin, Butylphenyl Methylpropional. *Plant Origin.",True,['Glyceryl Stearate']
FIRST AID BEAUTY,FAB Skin Lab Retinol Serum 0.25% Pure Concentrate,"Water, Polysorbate 80, Caprylic/Capric Triglyceride, Polysorbate 20, Butylene Glycol, Persea Gratissima (Avocado) Oil, Glycerin, Dimethicone, Retinol, Magnesium Ascorbyl Phosphate, Colloidal Oatmeal, Tocopherol, Hydrolyzed Hyaluronic Acid, Ceramide NP, Acetyl Hexapeptide-8, Linoleic Acid, Allantoin, Phytosteryl Canola Glycerides, Palmitic Acid, Oleic Acid, Glycine Soja (Soybean) Oil, Hydroxypropyl Cyclodextrin, Aloe Barbadensis Leaf Juice, Triolein, Caprylyl Glycol,Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Xanthan Gum, Lecithin, Stearic Acid, Maltodextrin, BHT, BHA, Phenoxyethanol, Sodium Hydroxide, Potassium Sorbate.",True,['Stearic Acid']
MURAD,Active Retinol Renewal Kit,"Retinol Youth Renewal Serum: Water, Cyclopentasiloxane, Isopropyl Palmitate, C14-22 Alcohols, Polymethylsilsesquioxane, Dimethicone, Propanediol, Glyceryl Stearate, PEG-100 Stearate, Shea Butter Ethyl Esters, Retinol, Hydroxypinacolone Retinoate, Ceramide NP, Sodium Hyaluronate, Solanum Lycopersicum (Tomato) Fruit Extract, Swertia Chirata Extract, Squalane, Punica Granatum Extract, Tocopheryl Acetate, Glycine Soja (Soybean) Extract, Urea, Yeast Amino Acids, Trehalose, Inositol, Taurine, Betaine, Glycerin, Caprylic/Capric Triglyceride, Dimethyl Isosorbide, Silica, Ethylhexyl Palmitate, Silica Dimethyl Silylate, Butylene Glycol, Lecithin, Ammonium Acryloyldimethyltaurate/VP Copolymer, C12-20 Alkyl Glucoside, Cetyl Palmitate, Laureth-23, Polysorbate 20, Trideceth-6 Phosphate, Synthetic Fluorphlogopite, Phenoxyethanol, Ethylhexylglycerin, Chlorphenesin, Disodium EDTA, Sodium Hydroxide, Tris (Tetramethylhydroxypiperidinol) Citrate, Sodium Benzotriazolyl Butylphenol Sulfonate, Titanium Dioxide (CI 77891), Red 4 (CI 14700), Alpha-Isomethyl Ionone, Citronellol, Fragrance. Retinol Youth Renewal Night Cream: Water, Dimethicone, Glycerin, Butyrospermum Parkii (Shea) Butter, Stearyl Dimethicone, Caprylic/Capric Triglyceride, Arachidyl Alcohol, Octyldodecanol, Cetearyl Alcohol, Squalane, Borago Officinalis Seed Oil, Retinyl Propionate, Retinol, Swertia Chirata Leaf Extract, Urea, Yeast Amino Acids, Trehalose, Inositol, Taurine, Betaine, Glycine Soja (Soybean) Extract, Polymethylsilsesquioxane, Macrocystis Pyrifera (Kelp) Extract, Hydrolyzed Vegetable Protein, PVP, Ahnfeltiopsis Concinna Extract, Isopropyl Palmitate, Lecithin, Cetearyl Olivate, Octadecane, Disteardimonium Hectorite, Propylene Carbonate, Oleyl Alcohol, Dioscorea Villosa (Wild Yam) Root Extract, Glycine Soja (Soybean) Sterols, Hydrolyzed Yeast Extract, Cetyl Hydroxyethylcellulose, Polyglucuronic Acid, Sorbitan Olivate, Behenyl Alcohol, Arachidyl Glucoside, Tocopheryl Acetate, Zinc Gluconate, Sodium Polyacrylate, Dicaprylyl Carbonate, Polyglyceryl-3 Caprate, Xanthan Gum, Disodium EDTA, Sodium Hydroxide, Phenoxyethanol, Caprylyl Glycol, Chlorphenesin, Fragrance, Alpha-Isomethyl Ionone, Citronellol, Yellow 5 (CI 19140), Red 4 (CI 14700). Retinol Youth Renewal Eye Serum: Water, Glycerin, Butylene Glycol, Dimethyl Isosorbide, Meadowfoam Delta-Lactone, Retinyl Propionate, Retinol, Swertia Chirata Leaf Extract, Urea, Yeast Amino Acids, Trehalose, Inositol, Taurine, Betaine, Fucus Vesiculosus Extract, Imperata Cylindrica Root Extract, Glycine Soja (Soybean) Extract, Macrocystis Pyrifera (Kelp) Extract, Hydrolyzed Vegetable Protein, Isopropyl Palmitate, Lecithin, PVP, Hexylene Glycol, Caprylyl Glycol, Xanthan Gum, Punica Granatum Seed Oil, Caprylic/Capric Triglyceride, PVM/MA Decadiene Crosspolymer, PEG-8, Carbomer, Sodium Bisulfite, Silica, Sodium Hydroxide, Chlorphenesin, Phenoxyethanol, Fragrance, Red 4 (CI 14700), Yellow 5 (CI 19140).",True,"['Isopropyl Palmitate', 'Glyceryl Stearate', 'Cetyl Palmitate', 'Isopropyl Palmitate', 'Isopropyl Palmitate']"
KATE SOMERVILLE,Anti Bac Clearing Lotion,"Water, PPG-2 Myristyl Ether Propionate, Argania Spinosa Kernel Extract, PEG-40 Sterate, Serenoa Serrulata Fruit Extract, Sesamum Indicum (Sesame) Seed Extract, Alcohol Denat., Sorbitan Stearate, Hydrogenated Methyl Abeitate, Methyl Methacrylate Crosspolymer, Carbomer, Glyceryl Stearate, Cetyl Alcohol, Tetrasodium EDTA, Hydrogenated Lecithin, Cholesterol, Ceramide NS, Ceramide NP, Oleic Acid, Palmitic Acid, Sodium Ascorbate, Sodium Hydroxide, EDTA, Ethyhexylglycerin, Phenoxyethanol.",True,['Glyceryl Stearate']
JACK BLACK,Protein Booster Skin Serum,"Water, Glycerin, Caprylic/Capric Triglyceride, Aloe Barbadensis Leaf Juice*, Linum Usitatissimum (Linseed/Graine de lin) Seed Oil*, Camellia Sinensis Leaf Extract*, Cocos Nucifera (Coconut/ Noix de coco) Oil*, Dipeptide Diaminobutyroyl Benzylamide Diacetate, Simmondsia Chinensis (Jojoba) Seed Oil, Sorghum Bicolor Stalk Juice, Ormenis Multicaulis Oil, Glycine Soja (Soybean/Graine de soja) Oil, Retinyl Palmitate, Zea Mays (Corn/Blé) Oil, Hamamelis Virginiana (Witch Hazel/ Hamamélis) Water, Lonicera Caprifolium (Honeysuckle/Chèvrefeuille) Flower Extract, Pelargonium Graveolens Flower Oil, Lonicera Japonica (Honeysuckle/Chèvrefeuille) Flower Extract, Rosmarinus Officinalis (Rosemary/ Romarin) Leaf Oil, Plantago Lanceolata Leaf Extract, Butylene Glycol, Caprylyl Glycol, Xanthan Gum, Polysorbate 20, Tocopherol, Ascorbyl Palmitate, Taurine, Sodium Hyaluronate, Teprenone, Citric Acid, Potassium Sorbate, Carbomer, Palmitoyl Oligopeptide, Sodium Polystyrene Sulfonate, Phenoxyethanol, Palmitoyl Tetrapeptide-7, Alcohol, Citronellol, Tocopheryl Acetate, Geraniol, Linalool, Sodium Sulfite. *Certified Organic.",True,['Ascorbyl Palmitate']
DR. BRANDT SKINCARE,needles no more™,"Water, Perfluorohexane, Butyrospermum Parkii Butter, Perfluoroperhydrophenanthrene, Perfluorodecalin, Butylene Glycol, Dicaprylate/Dicaprate, Hydrogenated Lecithin, Polymethyl Methacrylate, Sodium Acrylates Copolymer, Magnesium Gluconate, C12-16 Alcohols, Palmitic Acid, Glyceryl Stearate, Isopropyl Palmitate, Methyl Methacrylate Crosspolymer, Glycerin, Phenoxyethanol, Prolinamidoethyl Imidazole, Cetearyl Alcohol, Menthone Glycerin Acetal, Glutamylamidoethyl Imidazole, Tocopherol, Lecithin, Stearic Acid, Sodium Cocoyl Glutamate, Butylene Glycol, Xanthan Gum, Hydroxyethylcellulose, Chlorphenesin, Sodium Phytate, Ethylhexylglycerin, Ricinus Communis (Castor) Seed Oil, Anthemis Nobilis Flower Oil, Silanediol Salicylate, Adenosine, Tromethamine, Linalool, Palmitoyl Hexapeptide-52, Polyvinyl Alcohol, Lactic Acid, Glycolic Acid, Palmitoyl Heptapeptide-18, Methylpropanediol, Lavandula Angustifolia (Lavender) Flower Extract.",True,"['Glyceryl Stearate', 'Isopropyl Palmitate', 'Stearic Acid']"
SHISEIDO,White Lucent Luminizing Surge,"Water, Butylene Glycol, Glycerin, Hydrogenated Polydecene, Dipropylene Glycol, Dimethicone, Xylitol, Isodecyl Neopentanoate, Peg-60 Glyceryl Isostearate, Cetyl Ethylhexanoate, Potassium Methoxysalicylate, Peg-5 Glyceryl Stearate, Behenyl Alcohol, Microcrystalline Wax(Cera Microcristallina/Cire Microcristalline), Stearic Acid, Phenoxyethanol, Isostearic Acid, Behenic Acid, Hydrogenated Palm Oil, Batyl Alcohol, Potassium Hydroxide, Carbomer, Elaeis Guineensis (Palm) Kernel Oil, Methylparaben, Elaeis Guineensis (Palm) Oil, Peg/Ppg-14/7 Dimethyl Ether, Tocopheryl Acetate, 2-O-Ethyl Ascorbic Acid, Fragrance (Parfum), Succinoglycan, Disodium Edta, Sodium Metaphosphate, Butylphenyl Methylpropional, Sodium Metabisulfite, Limonene, Linalool, Alpha-Isomethyl Ionone, Sodium Hyaluronate, Prunus Yedoensis Leaf Extract, Paeonia Albiflora Root Extract, Crataegus Monogyna Flower Extract, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Rehmannia Chinensis Root Extract, Iron Oxides (Ci 77492), Polyquaternium-51, Tocopherol, Iron Oxides (Ci 77491), Rosa Roxburghii Fruit Extract, Benzoic Acid, Citric Acid.",True,"['Glyceryl Stearate', 'Stearic Acid', 'stearic Acid', 'Palm Oil', 'Elaeis Guineensis', 'Elaeis Guineensis']"
KATE SOMERVILLE,+Retinol Vita C Power Serum,"Water, Dimethicone, Propanediol, Polysilicone-11, Polysorbate 20, Isocetyl Stearate, Volcanic Soil, Glyceryl Stearate, Isohexadecane, PEG-100 Stearate, Fragrance, Retinol, Ascorbic Acid, Tocopheryl Acetate, Hyaluronic Acid, Physalis Angulata Extract, Sodium Hyaluronate, Tocopherol, Hexapeptide-2, Ethylhexylglycerin, Amylopectin, PEG-7 Trimethylolpropane Coconut Ether, Adenosine, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, 1,2-Hexanediol, Butylene Glycol, Ammonium Polyacryloyldimethyl Taurate, Caprylic/Capric Triglyceride, Polyisobutene, Sorbitan Isostearate, Stearic Acid, Polysorbate 80, Dimethiconol, Caprylhydroxamic Acid, BHA, BHT, Disodium EDTA.",True,"['Glyceryl Stearate', 'Stearic Acid']"
PERRICONE MD,No Foundation Foundation Serum SPF 30,"Cyclopentasiloxane, Dimethicone, Water, Titanium Dioxide CI 77891), PEG-10 Dimethicone, PEG-9 Polydimethylsiloxyethyl Dimethicone, Methyl Trimethicone, Iron Oxides (CI 77491, CI 77492, CI 77499), Acrylates/ Dimethicone Copolymer, Dimethicone/PEG-10/15 Crosspolymer, Sodium Chloride, Silica, PEG/PPG-18/18 Dimethicone, Ethyl Ferulate, Phenoxyethanol, Caprylyl Glycol, Sodium Lactate, Dimethicone/Vinyl Dimethicone Crosspolymer, Phoenix Dactylifera (Date) Fruit Extract, Potassium Sorbate, Disodium EDTA, Thioctic Acid, Triethoxycaprylylsilane, Hexylene Glycol, Ascorbyl Palmitate, Dimethyl MEA, Tocopheryl Acetate, Palmitoyl Oligopeptide, Palmitoyl Tripeptide-5.",True,['Ascorbyl Palmitate']
OLEHENRIKSEN,Power Peel™ Transforming Facial System,"Water, Kaolin, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Glycerin, Cetyl Alcohol, Caprylic/Capric Triglyceride, Helianthus Annuus (Sunflower) Seed Oil, Glyceryl Stearate SE, Titanium Dioxide (CI 77891), Magnesium Aluminum Silicate, Dimethicone, Ceteareth-20, Aloe Barbadensis Leaf Juice, Phenoxyethanol, Tocopheryl Acetate, Bisabolol, Sodium Benzoate, Parfum/Fragrance, Caprylyl Glycol, Algae Extract, Potassium Sorbate, Vitis Vinifera (Grape) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Hexylene Glycol, Ethylhexylglycerin, Chamomilla Recutita (Matricaria) Flower Extract, Borago Officinalis Seed Oil, Allantoin, Oenothera Biennis (Evening Primrose) Seed Extract, Citric Acid, Tocopherol, Sodium Sulfite, Ascorbyl Palmitate, Hydroxycitronellal, Linalool.",True,"['Glyceryl Stearate', 'Ascorbyl Palmitate']"
KORRES,"Black Pine 3D Sculpting, Firming & Lifting Face Serum","Water, Pentylene Glycol, Sinorhizobium Meliloti Ferment Filtrate, Saccharomyces/Xylinum/ Black Tea Ferment, Glycerin, Ascorbyl Palmitate, Avena Sativa (Oat) Kernel Extract, Benzyl Alcohol, Brassica Napus Extract, Butylene Glycol, Cetyl Hydroxyethylcellulose, Epigallocatechin Gallate, Epigallocatechin Gallatyl Glucoside, Ethylhexylglycerin, Glyceryl Acrylate/Acrylic Acid Copolymer, Helianthus Annuus (Sunflower) Seed Oil, Hexapeptide-11, Hydrolyzed Sodium Hyaluronate, Hydrolyzed Soybean Fiber, Hydroxyethylcellulose, Lactic Acid, Lecithin, Parfum/Fragrance, Peucedanum Graveolens (Dill) Extract, Phenoxyethanol, Pinus Nigra Bud/Needle Extract, Polyacrylate Crosspolymer-6, Polyglyceryl-5 Laurate, Potassium Sorbate, Sodium Benzoate, Sodium Carboxymethyl Beta-Glucan, Sodium Dehydroacetate, Sodium Hyaluronate, Tetrasodium Glutamate Diacetate, Tocopherol, Xanthan Gum.",True,['Ascorbyl Palmitate']
PHILOSOPHY,Help Me,"Water, Caprylic/Capric Triglyceride, Emulsfying Wax, Glycerin, C10-30 Cholesterol, Lanosterol Esters, Cetyl Ricinoleate, Cetyl Alcohol, Dimethicone, Benzyl Alcohol, Cyclomethicone, Retinol , Tocopherol Acetate, Ascorbyl Palmitate, Methyl Methacrylate/ Glycol Dimethacrylate Crosspolymer, Stearic Acid, Peg-10 Soy Sterol, Phenoxyethanol, Magnesium Aluminum Silicate, Methylparaben, Triethanolamine, Disodium Edta, Bisabolol, Bht, Polysorbate 20, Propyl Gallate, Ascorbic Acid.",True,"['Ascorbyl Palmitate', 'Stearic Acid']"
LANCER,Younger® Pure Youth Serum with MIMIXYL™,"Water, Aloe Barbadensis Leaf Extract, Dimethyl Isosorbide, Glycolic Acid, Glyceryl Stearate, PEG-100 Stearate, Neopentyl Glycol Diethylhexanoate, Sodium Hydroxide, Caprylic/Capric Triglyceride, Propanediol, Cetyl Alcohol Polymethylsilsesquioxane, HDI/Trimethylol Hexyllactone Crosspolymer, Hydroxyethylacrylate, Sodium Acryloyldimethyl Taurate Copolymer, Glycerin, Butylene Glycol, Cyclopentasiloxane, Cyclohexasiloxanehydroxyethylacrylate, Sodium Acryloyldimethyl Taurate, Copolymer, Cyclopentasiloxane, Cyclohexasiloxane, Glycolic Acid, Sodium Hydroxide, Hydroxypinacolone Retinoate, Bakuchiol, Tetrahexydecyl Ascorbate, Capryloyl Pentapeptide-26, Bidens Pilosa Extract, Saccharomyces Lysate Extract, Methyl Glucoside Phosphate Proline Lysine Copper Complex, Glycine (Soybean) Soja Extract, Tuber Aestivum Extract (White Truffle), Orchis Mascula Extract (Purple Orchid), Sodium Hyaluronate, Alpha Bisabolol, Allantoin, Chondrus Crispus Extract, Elaeis Guineensis (Palm) Oil, Gossypium Herbaceum (Cotton) Seed Oil, Linum Usitatissimum (Linseed) Seed Oil, Dimethicone, Vinyl Dimethicone Crosspolymer, Tocopheryl Acetate, PPG-12 SMDI Copolymer, Vitis Vinifera (Grape) Seed Oil, Hydrolyzed Chondrus Crispus Extract, Menthoxypropanediol, Vanillyl Butyl Ether, Magnesium Aluminum Silcate, Sodium Dihydroacetate, Citric Acid, Potassium Sorbate, Xanthan Gum, Disodium EDTA, Ethylhexylglycerin, Phenoxyethanol.",True,"['Glyceryl Stearate', 'Elaeis Guineensis']"
MILK MAKEUP,Watermelon Brightening Serum,"Water, Butylene Glycol, Bis-Peg-18 Methyl Ether Dimethyl Silane, Sodium Stearate, Pentylene Glycol, Glycerin, Oleth-2, Citrus Aurantium Amara (Bitter Orange) Flower Water, Citrullus Vulgaris (Watermelon) Fruit Extract, Fragaria Vesca (Strawberry) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Lens Esculenta (Lentil) Fruit Extract, Lens Esculenta (Lentil) Seed Extract, Cichorium Intybus (Chicory) Root Extract, Prunus Domestica Fruit Extract, Opuntia Ficus-Indica Stem Extract, Lepidium Sativum Sprout Extract, Acacia Senegal Gum, Sea Water, Tocopheryl Acetate, Retinyl Palmitate, Acsorbyl Palmitate, Sodium Lactate, Hydrolyzed Rice Protein, Lecithin, Sodium PCA, Polysorbate 20, Palmitoyl Tetrapeptide-7, Phospholipids, Palmitoyl Tripeptide-1, Sodium Hyaluronate, Ethylhexylglycerin, Xanthan Gum, Salicylic Acid, Stearic Acid, Carbomer, Ascorbic Acid, Citric Acid, Hexylene Glycol, Caprylyl Glycol, Sorbic Acid, Sodium Benzoate, Potassium Sorbate, Phenoxyethanol, Chlorphenesin, Red 40 (Ci 16035), Yellow 5 (Ci 19140).",True,['Stearic Acid']
PETER THOMAS ROTH,PROfessional Strength 40% Triple Acid Peel,"Water, Glycolic Acid, Sodium Hydroxide, Arginine, Pentylene Glycol, Sodium Pca, Polysorbate 20, Soyethyl Morpholinium Ethosulfate, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, 4-T-Butylcyclohexanol, Cyclodextrin, Glycerin, Mandelic Acid, Myristyl Alcohol, Salicylic Acid, Sodium Hyaluronate, Tocopherol, Ascorbyl Palmitate, Cholesterol, Lecithin, Isohexadecane, Methyldihydrojasmonate, Glyceryl Undecylenate, Sucrose Tetrastearate Triacetate, Hydroxyphenyl Propamidobenzoic Acid, Zea Mays (Corn) Oil, Sodium Borate, Xantham Gum, Polysorbate 80, Sorbitan Oleate, Dipropylene Glycol, Butylene Glycol, Phenoxyethanol, Mica.",True,['Ascorbyl Palmitate']
COOLA,Sunless Tan Anti-Aging Face Serum,"Water, Propanediol, Dihydroxyacetone, Glycerin, Aloe Barbadensis Leaf Juice Powder*, Heptyl Undecylenate, Argan Oil, Polyglyceryl-6 Esters, Centella Asiatica Meristem Cell Culture, Hydrolyzed Algin, Caprylic/Capric Glycerides Polyglycerin-10 Esters, Sodium Hyaluronate, Chlorella Vulgaris Extract, Hibiscus Sabdariffa Flower Extract*, Chamomilla Recutita (Matricaria) Flower Extract*, Ascorbyl Palmitate, Vitis Vinifera (Grape) Seed Oil*, Citrus Aurantium Bergamia (Bergamot) Fruit Oil*, Cetearyl Glucoside, Alcohol Denat.*, Maris Aqua, Polyglyceryl-4 Caprate, Cyamopsis Tetragonoloba (Guar) Gum, Xanthan Gum, Fragrance, Gluconolactone, Potassium Sorbate, Sodium Benzoate. *Certified Organic.",True,['Ascorbyl Palmitate']
IT COSMETICS,Bye Bye Pores Primer™ Oil-Free Poreless Skin-Perfecting Serum Primer,"Cyclopentasiloxane, Dimethicone, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Polysilicone-11, Zinc Oxide, Isododecane, Hexyl Laurate, Polymethylsilsesquioxane, Titanium Dioxide, Dimethicone/Vinyl Dimethicone Crosspolymer, Peg-10 Dimethicone, Hydrogen Dimethicone, Aluminum Hydroxide, Stearic Acid, Cetyl Peg/Ppg-10/1 Dimethicone, Polyglyceryl-4 Isostearate, Aqua/Water/Eau, Lecithin, Glycerin, Maris Aqua/Sea Water/Eau De Mer, Alcohol, Butylene Glycol, Polysorbate 20, Carica Papaya (Papaya) Fruit Extract, Charcoal Powder, Moroccan Lava Clay, Canadian Colloidal Clay, Colloidal Oatmeal, Palmitoyl Pentapeptide-4, Niacinamide, Retinol, Acetyl Hexapeptide-8, Copper Gluconate, Collagen, Tea-Cocoyl Glutamate, Sodium Hyaluronate, Copper Tripeptide-1, Biotin, Magnesium Aspartate, Zinc Gluconate, Sodium Ascorbyl Phosphate, Ascorbic Acid, Disodium Edta, Aloe Barbadensis Leaf Extract, Curcuma Longa (Turmeric) Root Extract, Anthemis Nobilis Flower Water, Tocopheryl Acetate, Squalane, Caprylic/Capric Triglyceride, Glycyrrhiza Glabra (Licorice) Root Extract, Triethoxycaprylylsilane, Camellia Sinensis Leaf Extract, Cholesteryl Nonanoate, Cholesteryl Isostearate, Cholesteryl Chloride, Sodium Lauroyl Lactate, Ceramide Np, Ceramide Ap, Phytosphingosine, Cholesterol, Xanthan Gum, Carbomer, Ceramide Eop, Panthenol, Polyglutamic Acid, Creatine, Phenylalanine, Histidine, Arginine, Lysine, Leucine, Isoleucine, Methionine, Tryptophan, Valine, Saccharide Isomerate, Threonine, Ethylhexylglycerin, Caprylyl Glycol, 1,2-Hexanediol, Phenoxyethanol, Citric Acid, Potassium Sorbate, Sodium Benzoate, Iron Oxides (Ci 77492).",True,['Stearic Acid']
SHISEIDO,Bio-Performance Glow Revival Serum,"Water, Dipropylene Glycol, Glycerin, Dimethicone, Diphenylsiloxy Phenyl Trimethicone, Sd Alcohol 40-B (Alcohol Denat.), Peg-20, Trehalose, Pentaerythrityl Tetraethylhexanoate, Behenyl Alcohol, Silica, Isostearic Acid, Mica, Phytosteryl Macadamiate, Titanium Dioxide (Ci 77891), Stearyl Alcohol, Phenoxyethanol, Sodium Methyl Stearoyl Taurate, Lauryl Betaine, Methylparaben, Carbomer, Xylitol, Tocopheryl Acetate, Sodium Hyaluronate, Potassium Hydroxidw, Disodium Edta, Fragrance, Glycyl Glycine, 2-O-Ethyl Ascorbic Acid, Sodium Metaphosphate, Butylene Glycol, Limonene, Sodium Metabisulfite, Dipotassium Glycyrrhizate, Oryzanol, Magnesium Ascorbyl Phosphate, Saccharomyces Ferment Lysate Filtrate, Alcohol, Hexyl Cinnamal, Benzyl Benzoate, Butylphenyl Methylpropional, Linalool, Sodium Acetylated Hyaluronate, Iron Oxides (Ci 77491), Alpha-Isomethyl Ionone, Crataegus Monogyna Flower Extract, Citronellol, Geraniol, Sodium Benzoate, Tocopherol, Camellia Sinensis Leaf Extract, Cinnamomum Cassia Bark Extract.",True,['stearic Acid']
KATE SOMERVILLE,Age Arrest Anti-Wrinkle Cream,"Water, Neopentyl Glycol Diheptanoate, Caprylic/Capric Triglycerides, Cetearyl Alcohol, Cocoglycerides, Propanediol, Glycerin, Cetyl Esters, Dimethicone, Tridecyl Neopentanoate, Stearyl Alcohol, Glyceryl Stearate, Ergothioneine, Panthenol, Tocopheryl Acetate, Palmitoyl Dipeptide-10, Kappaphycus Alvarezii Extract, Tocopherol, Tocotrienols, Aloe Barbadensis Leaf Juice, Avena Sativa (Oat) Bran Extract, Hydrolyzed Hyaluronic Acid, Adenosine, Sea Whip Extract, Tripleurospermum Maritimum Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Lavandula Angustifolia (Lavender) Flower/Leaf/Stem Extract, Mentha Piperita (Peppermint) Leaf Extract, Passiflora Incarnata Fruit Extract, Aniba Rosaeodora (Rosewood) Wood Extract, Camellia Sinensis Leaf Extract, Cananga Odorata Flower Extract, Cupressus Sempervirens Seed Extract, Fucus Vesiculosus Extract, Prunus Armeniaca (Apricot) Fruit Extract, Jasminum Officinale (Jasmine) Flower/Leaf Extract, Vanilla Planifolia Fruit Extract, Citrus Aurantium Bergamia (Bergamot) Fruit Extract, Santalum Album (Sandalwood) Wood Extract, Coriandrum Sativum (Coriander) Seed Extract, Cucumis Melo Cantalupensis Fruit Extract, Cucumis Sativus (Cucumber) Fruit Extract, Prunus Persica (Peach) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Rose Extract, Rubus Idaeus (Raspberry) Fruit Extract, Tetrahexyldecyl Ascorbate, Ceteareth-20, PEG-40 Stearate, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Arachidyl Alcohol, Elaeis Guineensis (Palm) Oil, Cetyl Alcohol, Sorbitan Oleate, Isohexadecane, Xanthan Gum, Ethylhexylglycerin, Polysorbate 80, Disodium EDTA, Potassium Sorbate, Citric Acid, Phenoxyethanol, Sodium Benzoate, Sorbic Acid.",True,"['Glyceryl Stearate', 'Elaeis Guineensis']"
PETER THOMAS ROTH,Potent-C™ Targeted Spot Brightener,"Water, Tetrahexyldecyl Ascorbate, PEG-8 Beeswax, Butylene Glycol, Magnesium Aluminum Silicate, Cetearyl Alcohol, Tocopheryl Acetate, Glyceryl Stearate, PEG-100 Stearate, Ferulic Acid, Isopropyl Palmitate, Glycerin, Ceteareth-20, Dimethicone, Allantoin, Aloe Barbadensis Leaf Juice, Angelica Acutiloba Root Extract, Dictyopteris Polypodioides Extract, Citric Acid, Disodium EDTA, Titanium Dioxide, Mica, Potassium Bitartrate, Potassium Sorbate, Sodium Benzoate, Phenoxyethanol.",True,"['Glyceryl Stearate', 'Isopropyl Palmitate']"
